NOMBRE;DISTRITO;CORREO;RESPONSABLE;TELEFONO
Asociacion de Vecinos Residencial Alambra;San Rafael;alhambra.activa@gmail.com;;
Asociacion de vecinos Residencial El Roble;San Rafael;elroble.mo@gmail.com;Albin Gerardo Guerreo Mora;
Asociacion Pro Desarrollo Urbanizacion Europa;San Rafael;marbel1957@gmail.com;;22732907
Comite de Vecinos de Urbanizacion  Europa   ;San Rafael;vinicio1985ka@gmail / marc23rivera@hotmail.com ;Marcos Fonseca Viquez;
Asociacion de Desarrollo Especifica para la Vivienda Santisima Trinidad, San Rafael;San Rafael;mariars-3@hotmail.com;;
Comite de vecinos Urb. Rosemary Kaspisky;San Rafael;sazuniga98@yahoo.com ;;
Comite  Pro Mejoras Calle La Estefana.        ;San Rafael;ictorperezm42@gmail.com;Victor Perez Mora;8937-2507
Comite de Vecinos Urbanizacion Eucaliptos    ;San Rafael;msanchez@vida.cr;Miguel Sanchez Redondo;
Asociacion de Vecinos Calle La Antigua, Las Higuerillas;San Rafael;avecla@amnet.cr ;Monserrat Solano;88418139
Comite de Vecinos de Urbanizacion Don Bosco  ;San Rafael;carlosrojasvargas@yahoo.com.mx;Carlos Luis Rojas Vargas;
